dataset,K,distance,algorithm,parameters,knn-dist,knn-set,accuracy-R@1,accuracy-R@10,qps,queryTime,build,indexsize
vgg-512-euclidean,10,euclidean,kd,KDTree(leaf_size=30),1.0,1.0,0.0982,0.0989,0.2620809380355497,3.8156151587963105,539.0653221607208,1073868.0
vgg-512-euclidean,10,euclidean,bruteforce,BruteForce(),1.0,1.0,0.1962,0.1974,0.302578587943433,3.304926521062851,1.111940860748291,0.0
vgg-512-euclidean,10,euclidean,NGT-onng,"ONNG-NGT(100, 10, 120, -2, 1.200)",0.99999,0.99983,0.9731,0.9838,39.39496366503485,0.02538395538330078,8934.14004778862,13264308.0
vgg-512-euclidean,10,euclidean,NGT-onng,"ONNG-NGT(100, 10, 120, -2, 0.900)",0.06181,0.06091,0.0989,0.0995,12330.41107504631,8.110029697418212e-05,8934.14004778862,13264308.0
vgg-512-euclidean,10,euclidean,NGT-onng,"ONNG-NGT(100, 10, 120, -2, 1.050)",0.57074,0.56914,0.5602,0.5658,1255.0321826294353,0.0007967923164367676,8934.14004778862,13264308.0
vgg-512-euclidean,10,euclidean,NGT-onng,"ONNG-NGT(100, 10, 120, -2, 1.100)",0.99766,0.9968400000000001,0.9726,0.983,716.4381427661732,0.0013957939147949219,8934.14004778862,13264308.0
vgg-512-euclidean,10,euclidean,NGT-onng,"ONNG-NGT(100, 10, 120, -2, 0.600)",0.01856,0.018099999999999998,0.0938,0.0941,16625.972850176513,6.01468563079834e-05,8934.14004778862,13264308.0
vgg-512-euclidean,10,euclidean,NGT-onng,"ONNG-NGT(100, 10, 120, -2, 1.070)",0.90765,0.90625,0.8897,0.8979,944.3008258633761,0.0010589845657348633,8934.14004778862,13264308.0
vgg-512-euclidean,10,euclidean,NGT-onng,"ONNG-NGT(100, 10, 120, -2, 1.030)",0.25434999999999997,0.25318,0.2504,0.2525,2512.574993639644,0.0003979980707168579,8934.14004778862,13264308.0
vgg-512-euclidean,10,euclidean,NGT-onng,"ONNG-NGT(100, 10, 120, -2, 1.000)",0.11828000000000001,0.11733,0.1197,0.1207,6303.214646923836,0.00015864920616149902,8934.14004778862,13264308.0
vgg-512-euclidean,10,euclidean,NGT-onng,"ONNG-NGT(100, 10, 120, -2, 1.020)",0.17851,0.17751,0.1767,0.1787,3588.7940540884642,0.000278645133972168,8934.14004778862,13264308.0
vgg-512-euclidean,10,euclidean,SW-graph(nmslib),"Nmslib(method_name=sw-graph, index_param=['NN=16'])",0.88131,0.8677199999999999,0.9678,0.9772,283.5976633949459,0.0035261221408843992,2299.7693343162537,7010144.0
vgg-512-euclidean,10,euclidean,SW-graph(nmslib),"Nmslib(method_name=sw-graph, index_param=['NN=16'])",0.83841,0.8247199999999999,0.9592,0.9683,526.063365220739,0.0019009116888046265,2299.7693343162537,7010144.0
vgg-512-euclidean,10,euclidean,SW-graph(nmslib),"Nmslib(method_name=sw-graph, index_param=['NN=10'])",0.27242,0.26643,0.7096,0.7218,2118.407892957143,0.00047205262184143066,1827.435046672821,6633560.0
